Item_ID,Master_Restaurant_Id,Date_ID,Time of Order,Order Delivered Date,Time of Delivery,Expected Delivery Time,Delivery Time (in mins),Restaurant_ID,Desc_ID,Location_ID,Avg Rating_ID,Type_ID,Category_ID,Cuisine_ID,Working Hrs,Delivery Available,Table Booking Available,Price,Discounts Offered (%),Discounted Price,Expected Revenue,Customer ID,Cust Rating_ID,Order_Status_ID,Cancellation_ID,Actual Revenue,Operating Cost,GP Margin,Total Number of Reviews,Number of Complaints Received,Foot Traffic in Location,Competitors in the Area (Count),Subscription_ID,Budgetd_Rev,Budgetd_Operating Cost,Budgeted Order,Budgeted GP,Acquisition cost,Value,year,month
2,84,1613,21:46:38,2024-05-31,22:41:38,41,55,84,999,16,2,1,999,999,11:00AM - 11:00PM,NO,NO,296.46,22.66,229.28,229.28,1924,3,999,5,229.28,154.52,74.76,117,9,medium,22,1,401.52,584.93,581.0,246.77,5.13,134.01,2024,5
1,81,1613,9:25:16,2024-05-31,9:52:16,25,27,81,999,17,2,1,999,999,11:00AM - 11:00PM,NO,YES,567.07,24.75,426.72,426.72,1567,1,999,3,0.0,309.98,116.74,197,10,high,21,1,540.29,203.42,628.0,71.44,5.63,126.47,2024,5
6,68,1613,8:28:00,2024-05-31,9:10:00,46,42,58,925,5,4,1,3,9,11:00AM - 11:00PM,YES,YES,544.4,27.76,393.27,393.27,619,2,999,5,393.27,263.76,129.51,56,11,low,24,2,381.83,287.41,217.0,94.42,23.86,178.25,2024,5
2,85,1613,0:48:20,2024-05-31,1:14:20,26,26,85,999,1,1,1,999,999,11:00AM - 11:00PM,YES,YES,375.69,4.38,359.23,359.23,1963,2,998,4,0.0,234.74,124.49,85,21,medium,12,2,848.78,358.66,316.0,116.05,38.74,271.3,2024,5
6,67,1613,14:20:00,2024-05-31,15:07:00,41,47,81,984,1,7,1,5,2,11:00AM - 11:00PM,YES,YES,755.01,24.85,567.39,567.39,991,3,999,5,567.39,437.05,130.34,85,19,medium,25,1,555.56,431.89,121.0,123.67,14.25,200.55,2024,5
1,82,1613,15:34:53,2024-05-31,16:01:53,24,27,82,999,1,3,1,999,999,11:00AM - 11:00PM,YES,NO,865.8,28.09,622.6,622.6,1707,1,998,2,0.0,515.94,106.66,163,42,high,5,1,321.53,327.67,655.0,168.11,9.07,266.55,2024,5
7,12,1613,5:20:13,2024-05-31,5:55:13,29,35,14,999,8,1,2,999,999,12:00PM - 2:00AM,NO,NO,512.48,30.25,357.45,357.45,1046,2,999,5,357.45,291.04,66.41,82,23,medium,16,1,459.66,369.53,577.0,293.21,32.08,227.32,2024,5
7,16,1613,8:12:00,2024-05-31,11:58:00,50,54,11,928,12,6,2,5,17,12:00PM - 2:00AM,YES,YES,912.56,30.87,630.85,630.85,3208,6,999,5,630.85,499.59,131.26,474,4,medium,5,1,682.64,469.31,312.0,135.43,29.75,762.11,2024,5
1,82,1613,14:04:05,2024-05-31,14:48:05,26,44,82,999,1,2,1,999,999,11:00AM - 11:00PM,YES,YES,386.73,28.61,276.09,276.09,1746,1,998,3,0.0,182.38,93.71,225,24,medium,13,1,534.28,575.86,378.0,141.54,31.46,185.03,2024,5
7,12,1613,3:34:47,2024-05-31,4:13:47,57,39,12,999,8,5,2,999,999,12:00PM - 2:00AM,YES,YES,722.48,39.1,439.99,439.99,1500,5,998,5,439.99,292.21,147.78,133,78,low,10,1,584.65,388.77,423.0,287.96,6.02,220.27,2024,5
7,14,1613,1:34:41,2024-05-31,2:27:41,29,53,14,999,8,2,2,999,999,12:00PM - 2:00AM,NO,NO,342.45,23.57,261.73,261.73,1378,1,998,5,261.73,193.64,68.09,219,47,medium,30,2,753.49,519.47,400.0,265.43,49.01,255.56,2024,5
7,14,1613,0:13:55,2024-05-31,0:57:55,21,44,14,999,8,4,2,999,999,12:00PM - 2:00AM,YES,NO,376.94,18.47,307.32,307.32,1142,4,999,2,0.0,259.33,47.99,268,70,low,8,1,732.73,272.39,575.0,211.25,10.72,216.21,2024,5
6,69,1613,9:57:00,2024-05-31,10:43:00,37,46,36,931,4,4,1,8,1,11:00AM - 11:00PM,YES,YES,768.35,12.32,673.69,673.69,896,3,999,5,673.69,426.04,247.65,137,7,medium,6,1,698.51,430.38,273.0,268.13,23.51,309.76,2024,5
7,12,1613,16:00:21,2024-05-31,16:38:21,37,38,14,999,8,5,2,999,999,12:00PM - 2:00AM,YES,NO,743.74,38.98,453.83,453.83,1494,5,998,5,453.83,385.52,68.31,113,66,medium,13,3,769.54,360.03,438.0,299.77,48.23,146.16,2024,5
2,83,1247,12:42:07,2024-05-31,13:35:07,43,53,6,6,6,4,1,1,2,9:30AM - 10:00PM,No,No,1492.0,23.28,1145.0,1145.0,40,4,2,5,1145.0,881.0,263.0,186,10,High,25,2,1270.575264,1004.784655,0.0,265.7906093,14.9122807,347.3376,2024,5
3,91,1613,19:05:14,2024-05-31,19:35:14,35,30,91,999,1,1,1,999,999,11:00AM - 11:00PM,YES,YES,771.42,11.32,684.1,684.1,924,4,999,3,0.0,563.32,120.78,123,22,low,13,2,606.33,160.89,456.0,83.85,18.99,247.89,2024,5
7,12,1613,10:37:08,2024-05-31,11:02:08,33,25,14,999,8,4,2,999,999,12:00PM - 2:00AM,YES,YES,366.4,32.88,245.93,245.93,1103,5,999,1,0.0,176.38,69.55,114,81,high,9,1,555.64,289.27,443.0,249.84,6.77,194.34,2024,5
7,12,1613,10:31:16,2024-05-31,11:05:16,57,34,12,999,8,1,2,999,999,12:00PM - 2:00AM,NO,NO,759.11,39.53,459.03,459.03,1442,4,999,5,459.03,387.77,71.26,133,1,low,10,1,616.44,531.38,418.0,173.31,49.34,162.62,2024,5
2,83,1247,12:42:07,2024-05-31,13:35:07,43,53,6,6,6,4,1,1,2,9:30AM - 10:00PM,No,No,1492.0,23.28,1145.0,1145.0,40,4,2,5,1145.0,904.0,240.0,186,10,High,25,2,1293.468512,1012.797292,0.0,280.6712205,15.17857143,347.3376,2024,5
2,83,1247,12:42:07,2024-05-31,13:35:07,43,53,6,6,6,4,1,1,2,9:30AM - 10:00PM,No,No,1492.0,23.28,1145.0,1145.0,40,4,2,5,1145.0,858.0,286.0,186,10,High,25,2,1304.915136,978.686352,0.0,326.228784,13.15789474,347.3376,2024,5
2,84,1613,23:38:02,2024-05-31,0:27:02,31,49,84,999,16,5,1,999,999,11:00AM - 11:00PM,NO,NO,933.5,9.96,840.52,840.52,1958,1,999,4,0.0,515.9,324.62,103,29,high,7,1,634.35,567.86,515.0,176.25,27.87,252.8,2024,5
1,79,1613,12:56:58,2024-05-31,13:35:58,22,39,79,999,10,5,1,999,999,11:00AM - 11:00PM,YES,NO,808.04,17.65,665.42,665.42,1677,3,998,5,665.42,347.5,317.92,104,24,medium,3,3,792.83,414.33,330.0,92.39,21.09,179.43,2024,5
1,81,1613,18:37:45,2024-05-31,19:27:45,39,50,81,999,17,1,1,999,999,11:00AM - 11:00PM,YES,NO,567.07,26.5,416.8,416.8,1501,4,999,5,416.8,231.74,185.06,45,23,medium,23,3,554.5,205.72,687.0,180.19,9.99,153.63,2024,5
7,17,1613,14:12:00,2024-05-31,17:08:00,30,24,59,987,10,3,2,9,9,11:00AM - 11:00PM,No,YES,692.45,20.73,548.91,548.91,3235,3,999,5,548.91,332.05,216.86,416,15,high,8,1,642.91,311.02,248.0,265.2,18.11,765.77,2024,5
6,69,1613,7:52:00,2024-05-31,8:46:00,44,54,38,991,4,1,1,8,7,11:00AM - 11:00PM,YES,YES,1010.78,18.76,821.16,821.16,3014,3,999,1,0.0,498.43,322.73,125,3,medium,16,1,860.34,505.81,205.0,354.53,11.38,420.75,2024,5
2,83,1247,12:42:07,2024-05-31,13:35:07,43,53,6,6,6,4,1,1,2,9:30AM - 10:00PM,No,No,1492.0,23.28,1145.0,1145.0,40,4,2,5,1145.0,801.0,343.0,186,10,High,25,2,1282.021888,913.4405952,0.0,368.5812928,16.66666667,347.3376,2024,5
7,14,1613,18:55:34,2024-05-31,19:16:34,35,21,14,999,8,4,2,999,999,12:00PM - 2:00AM,YES,NO,363.43,21.58,285.0,285.0,1103,4,998,5,285.0,237.43,47.57,259,30,high,13,3,710.84,472.53,568.0,204.29,24.46,227.24,2024,5
7,16,1613,13:24:00,2024-05-31,22:21:00,40,42,41,952,12,5,2,8,16,10:00AM - 10:00PM,YES,No,203.47,7.42,188.37,188.37,3281,5,999,5,188.37,120.05,68.32,424,11,low,17,2,225.17,121.1,207.0,87.22,17.21,256.69,2024,5
1,79,1613,12:33:49,2024-05-31,12:51:49,36,18,79,999,10,4,1,999,999,11:00AM - 11:00PM,NO,NO,754.39,4.06,723.76,723.76,1512,5,999,5,723.76,404.34,319.42,204,45,medium,18,1,407.58,388.7,522.0,52.37,42.09,180.79,2024,5
2,84,1613,22:09:37,2024-05-31,23:07:37,45,58,84,999,16,2,1,999,999,11:00AM - 11:00PM,YES,NO,181.03,31.14,124.66,124.66,1998,3,999,5,124.66,76.79,47.87,116,50,medium,12,2,755.71,536.21,650.0,69.64,39.76,124.19,2024,5
5,43,1613,3:27:42,2024-05-31,0:40:00,37,40,70,965,7,7,1,144,187,10:00AM - 10:00PM,YES,NO,657.0,37.77,408.85,408.85,3680,7,370,5,408.85,281.93,126.92,244,2,medium,10,2,444.88,307.24,0.0,137.64,26.16,100.76,2024,5
1,81,1613,1:05:57,2024-05-31,2:02:57,21,57,81,999,17,3,1,999,999,11:00AM - 11:00PM,NO,NO,516.11,18.07,422.85,422.85,1716,1,999,3,0.0,309.07,113.78,168,0,medium,21,1,661.25,473.65,497.0,221.72,11.86,185.0,2024,5
7,14,1613,17:15:40,2024-05-31,17:38:40,31,23,14,999,8,3,2,999,999,12:00PM - 2:00AM,NO,NO,680.91,5.3,644.82,644.82,1010,4,998,5,644.82,387.51,257.31,169,38,high,21,1,712.16,358.86,426.0,51.84,49.97,293.3,2024,5
5,45,1613,13:26:15,2024-05-31,0:58:00,53,58,54,933,1,5,1,128,120,10:00AM - 10:00PM,YES,YES,910.0,35.64,585.68,585.68,3039,5,762,5,585.68,386.88,198.8,89,1,medium,18,2,596.06,404.77,0.0,191.29,28.29,170.51,2024,5
1,79,1613,10:58:33,2024-05-31,11:46:33,26,48,79,999,10,1,1,999,999,11:00AM - 11:00PM,YES,NO,269.71,27.48,195.59,195.59,1629,5,999,5,195.59,109.85,85.74,250,0,high,24,1,445.98,210.59,605.0,107.34,10.15,251.2,2024,5
2,83,1613,14:35:13,2024-05-31,15:29:13,53,54,83,999,6,7,1,999,999,11:00AM - 11:00PM,YES,NO,379.18,33.72,251.32,251.32,1982,4,998,5,251.32,130.71,120.61,247,42,high,12,1,270.17,419.78,564.0,189.69,29.61,221.32,2024,5
7,16,1613,3:55:00,2024-05-31,4:24:00,50,39,97,996,12,5,2,7,7,10:00AM - 10:00PM,No,YES,584.17,30.21,407.69,407.69,3344,5,999,5,407.69,239.98,167.71,291,14,medium,19,1,434.19,233.83,293.0,194.48,20.01,575.4,2024,5
7,12,1613,5:46:33,2024-05-31,6:33:33,59,47,14,999,8,1,2,999,999,12:00PM - 2:00AM,NO,NO,590.84,23.81,450.16,450.16,1169,2,998,5,450.16,307.43,142.73,132,97,low,28,1,625.96,515.96,558.0,173.25,16.57,144.8,2024,5
7,14,1613,19:53:34,2024-05-31,20:50:34,24,57,12,999,8,1,2,999,999,12:00PM - 2:00AM,YES,NO,532.22,17.41,439.56,439.56,1415,1,999,5,439.56,259.27,180.29,55,63,low,20,1,365.4,223.57,576.0,91.51,42.35,100.81,2024,5
2,83,1247,12:42:07,2024-05-31,13:35:07,43,53,6,6,6,4,1,1,2,9:30AM - 10:00PM,No,No,1492.0,23.28,1145.0,1145.0,40,4,2,5,1145.0,881.0,263.0,186,10,High,25,2,1304.915136,987.1568538,0.0,317.7582822,15.17857143,347.3376,2024,5
2,85,1613,3:49:22,2024-05-31,4:11:22,31,22,85,999,1,7,1,999,999,11:00AM - 11:00PM,NO,YES,571.18,30.64,396.17,396.17,1804,5,999,5,396.17,279.73,116.44,176,18,high,11,3,309.44,171.58,462.0,239.3,20.58,162.13,2024,5
3,91,1613,11:06:19,2024-05-31,11:38:19,43,32,91,999,1,4,1,999,999,11:00AM - 11:00PM,NO,NO,844.8,34.52,553.18,553.18,1415,3,998,5,553.18,292.71,260.47,196,2,low,12,2,480.96,245.59,578.0,102.32,17.97,160.06,2024,5
1,82,1613,5:40:39,2024-05-31,6:14:39,43,34,82,999,1,1,1,999,999,11:00AM - 11:00PM,YES,YES,661.33,20.52,525.63,525.63,1636,3,998,5,525.63,424.42,101.21,83,0,medium,13,1,538.32,384.8,624.0,176.6,27.22,132.79,2024,5
2,83,1247,12:42:07,2024-05-31,13:35:07,43,53,6,6,6,4,1,1,2,9:30AM - 10:00PM,No,No,1492.0,23.28,1145.0,1145.0,40,4,2,5,1145.0,847.0,298.0,186,10,High,25,2,1270.575264,974.1077024,0.0,296.4675616,14.7826087,347.3376,2024,5
2,83,1247,12:42:07,2024-05-31,13:35:07,43,53,6,6,6,4,1,1,2,9:30AM - 10:00PM,No,No,1492.0,23.28,1145.0,1145.0,40,4,2,5,1145.0,858.0,286.0,186,10,High,25,2,1270.575264,952.931448,0.0,317.643816,15.31531532,347.3376,2024,5
7,12,1613,9:09:10,2024-05-31,9:54:10,51,45,14,999,8,3,2,999,999,12:00PM - 2:00AM,NO,YES,352.11,10.87,313.84,313.84,1086,1,998,1,0.0,175.63,138.21,282,69,high,24,1,674.5,200.17,417.0,95.22,39.08,251.46,2024,5
7,14,1613,0:35:30,2024-05-31,0:52:30,28,17,14,999,8,2,2,999,999,12:00PM - 2:00AM,NO,NO,479.59,34.22,315.47,315.47,1356,4,999,5,315.47,201.41,114.06,223,25,low,17,3,547.56,422.88,427.0,197.98,12.24,183.14,2024,5
7,12,1613,6:54:14,2024-05-31,7:31:14,23,37,12,999,8,2,2,999,999,12:00PM - 2:00AM,YES,NO,590.29,17.92,484.51,484.51,1124,1,999,2,0.0,389.54,94.97,119,0,medium,30,1,401.11,209.62,558.0,53.01,26.79,233.85,2024,5
6,61,1613,21:32:00,2024-05-31,22:26:00,56,54,73,936,6,6,1,5,9,11:00AM - 11:00PM,YES,YES,800.48,19.01,648.31,648.31,878,1,999,5,648.31,516.46,131.85,94,9,medium,25,1,635.37,511.67,269.0,123.7,13.52,153.18,2024,5
2,83,1613,2:11:50,2024-05-31,3:11:50,20,60,83,999,6,7,1,999,999,11:00AM - 11:00PM,NO,YES,651.31,19.06,527.17,527.17,1964,3,999,5,527.17,443.56,83.61,200,15,low,23,2,766.46,519.19,422.0,166.96,27.72,164.27,2024,5
3,90,1613,19:14:44,2024-05-31,19:57:44,29,43,90,999,11,2,1,999,999,11:00AM - 11:00PM,NO,YES,537.54,10.22,482.6,482.6,454,1,998,2,0.0,302.07,180.53,69,18,low,3,2,301.39,176.67,539.0,197.03,42.45,154.54,2024,5
3,90,1613,18:00:18,2024-05-31,18:28:18,47,28,90,999,11,4,1,999,999,11:00AM - 11:00PM,YES,NO,813.9,18.12,666.42,666.42,960,4,999,5,666.42,389.27,277.15,164,30,low,19,3,424.44,221.58,633.0,131.7,37.17,200.95,2024,5
7,14,1613,11:22:00,2024-05-31,6:12:00,30,34,48,971,8,5,2,3,10,10:00AM - 10:00PM,YES,No,399.91,11.11,355.48,355.48,3593,5,999,5,355.48,202.31,153.17,293,15,medium,5,2,392.98,193.86,308.0,166.93,13.57,508.65,2024,5
5,45,1613,18:39:15,2024-05-31,0:17:00,34,17,65,915,1,3,1,138,174,10:00AM - 10:00PM,NO,YES,1035.0,27.29,752.55,752.55,3487,3,835,5,752.55,537.15,215.4,53,8,medium,14,3,739.18,491.94,0.0,247.24,20.85,194.55,2024,5
1,79,1613,23:43:48,2024-05-31,0:10:48,59,27,79,999,10,4,1,999,999,11:00AM - 11:00PM,NO,NO,621.13,15.21,526.66,526.66,1788,3,998,5,526.66,417.12,109.54,203,37,high,24,1,384.72,378.12,485.0,140.47,33.73,202.37,2024,5
1,81,1613,7:53:39,2024-05-31,8:46:39,60,53,81,999,17,5,1,999,999,11:00AM - 11:00PM,NO,YES,247.43,33.52,164.49,164.49,1647,1,999,2,0.0,87.22,77.27,105,29,high,5,3,633.27,565.21,441.0,203.87,32.69,220.16,2024,5
5,43,1613,9:16:18,2024-05-31,1:00:00,50,60,43,975,7,7,1,198,131,10:00AM - 10:00PM,NO,NO,1316.0,26.39,968.71,968.71,3695,7,450,5,968.71,633.29,335.42,106,10,low,14,1,1048.97,777.64,0.0,271.33,18.14,317.28,2024,5
3,91,1613,21:02:46,2024-05-31,21:58:46,34,56,91,999,1,2,1,999,999,11:00AM - 11:00PM,NO,NO,208.97,29.6,147.11,147.11,107,1,998,2,0.0,88.74,58.37,117,10,medium,8,3,295.0,573.83,347.0,117.59,44.41,260.78,2024,5
3,91,1613,8:49:34,2024-05-31,9:21:34,33,32,91,999,1,1,1,999,999,11:00AM - 11:00PM,NO,YES,272.85,6.2,255.93,255.93,1812,1,998,4,0.0,193.08,62.85,97,12,low,14,2,303.06,508.44,308.0,227.91,17.91,155.82,2024,5
2,83,1247,12:42:07,2024-05-31,13:35:07,43,53,6,6,6,4,1,1,2,9:30AM - 10:00PM,No,No,1492.0,23.28,1145.0,1145.0,40,4,2,5,1145.0,836.0,309.0,186,10,High,25,2,1270.575264,952.5880493,0.0,317.9872147,17.54385965,347.3376,2024,5
2,83,1613,12:41:28,2024-05-31,13:28:28,51,47,83,999,6,4,1,999,999,11:00AM - 11:00PM,NO,YES,657.98,12.89,573.17,573.17,1924,2,999,4,0.0,298.16,275.01,238,23,high,25,3,266.95,449.55,375.0,102.27,23.22,222.59,2024,5
7,12,1613,14:21:50,2024-05-31,15:16:50,44,55,12,999,8,5,2,999,999,12:00PM - 2:00AM,NO,NO,957.75,24.11,726.84,726.84,1169,5,998,5,726.84,542.65,184.19,129,88,low,15,1,470.14,304.49,480.0,250.89,7.22,124.82,2024,5
2,85,1613,9:27:03,2024-05-31,10:07:03,50,40,85,999,1,3,1,999,999,11:00AM - 11:00PM,YES,NO,165.94,28.03,119.43,119.43,1979,5,998,5,119.43,88.23,31.2,177,23,high,7,1,443.11,481.11,508.0,228.93,37.94,169.91,2024,5
1,79,1613,12:04:23,2024-05-31,12:46:23,26,42,79,999,10,5,1,999,999,11:00AM - 11:00PM,NO,NO,158.44,9.06,144.09,144.09,1527,4,998,5,144.09,97.8,46.29,180,44,high,7,1,456.98,161.05,353.0,109.09,41.82,115.45,2024,5
7,12,1613,2:35:37,2024-05-31,2:50:37,51,15,14,999,8,1,2,999,999,12:00PM - 2:00AM,NO,NO,735.71,31.41,504.62,504.62,1359,2,998,1,0.0,410.6,94.02,63,73,medium,5,2,689.41,498.55,497.0,257.01,23.36,294.76,2024,5
7,12,1613,14:29:47,2024-05-31,15:29:47,50,60,12,999,8,2,2,999,999,12:00PM - 2:00AM,YES,NO,620.56,31.92,422.48,422.48,1440,4,998,5,422.48,350.38,72.1,274,99,high,25,1,593.89,507.11,433.0,158.15,45.98,111.08,2024,5
2,85,1613,14:52:25,2024-05-31,15:29:25,33,37,85,999,1,3,1,999,999,11:00AM - 11:00PM,YES,NO,484.54,20.97,382.93,382.93,1961,5,999,5,382.93,234.27,148.66,249,25,medium,17,2,745.68,352.26,390.0,130.01,5.13,249.38,2024,5
7,12,1613,17:00:49,2024-05-31,17:15:49,35,15,14,999,8,4,2,999,999,12:00PM - 2:00AM,YES,NO,524.23,8.73,478.46,478.46,1162,4,999,5,478.46,428.36,50.1,173,40,high,14,3,597.76,523.58,409.0,161.04,9.65,286.32,2024,5
1,79,1613,20:40:31,2024-05-31,21:21:31,21,41,79,999,10,4,1,999,999,11:00AM - 11:00PM,NO,NO,667.39,31.01,460.43,460.43,1719,2,998,3,0.0,383.44,76.99,85,28,high,17,1,666.93,361.17,580.0,231.23,15.43,179.47,2024,5
6,72,1613,6:24:00,2024-05-31,7:22:00,60,58,40,917,14,4,1,5,3,11:00AM - 11:00PM,YES,YES,680.9,17.94,558.75,558.75,844,5,999,5,558.75,387.08,171.67,34,8,low,8,1,600.73,423.03,212.0,177.7,20.74,174.53,2024,5
7,12,1613,10:40:45,2024-05-31,11:19:45,44,39,14,999,8,4,2,999,999,12:00PM - 2:00AM,NO,YES,745.93,14.59,637.1,637.1,1492,3,998,5,637.1,548.68,88.42,91,1,medium,15,1,511.8,345.68,593.0,160.77,29.19,105.84,2024,5
2,83,1247,12:42:07,2024-05-31,13:35:07,43,53,6,6,6,4,1,1,2,9:30AM - 10:00PM,No,No,1492.0,23.28,1145.0,1145.0,40,4,2,5,1145.0,836.0,309.0,186,10,High,25,2,1293.468512,919.1639072,0.0,374.3046048,18.18181818,347.3376,2024,5
3,90,1522,11:56:18,2024-03-01,12:40:18,52,44,90,999,11,5,1,999,999,11:00AM - 11:00PM,YES,YES,481.01,18.15,393.71,393.71,1801,3,999,5,393.71,297.39,96.32,206,28,low,18,2,391.68,195.7,387.0,217.97,31.33,258.37,2024,3
7,16,1522,0:33:00,2024-03-01,0:30:00,30,36,67,964,12,7,2,1,8,12:00PM - 2:00AM,YES,YES,434.21,12.09,381.71,381.71,3415,7,999,5,381.71,201.39,180.32,352,10,low,5,1,401.01,211.1,277.0,219.21,25.28,562.03,2024,3
3,90,1522,0:11:22,2024-03-01,1:02:22,51,51,90,999,11,2,1,999,999,11:00AM - 11:00PM,YES,NO,569.68,31.13,392.34,392.34,561,5,999,1,0.0,321.59,70.75,220,17,medium,13,1,376.94,496.18,594.0,240.96,36.27,273.49,2024,3
5,44,1522,13:01:31,2024-03-01,0:16:00,36,16,91,972,4,3,1,103,136,10:00AM - 10:00PM,NO,YES,925.0,6.74,862.65,862.65,3607,3,458,5,862.65,652.01,210.64,282,10,low,5,3,793.49,528.28,0.0,265.21,27.04,183.6,2024,3
5,45,1522,11:08:16,2024-03-01,0:58:00,34,58,89,956,1,6,1,139,148,10:00AM - 10:00PM,NO,YES,978.0,27.49,709.15,709.15,3572,6,137,5,709.15,510.75,198.4,216,10,high,20,3,692.96,482.89,0.0,210.07,22.14,176.26,2024,3
5,42,1522,10:20:53,2024-03-01,0:19:00,44,19,68,950,8,6,1,194,136,10:00AM - 10:00PM,YES,NO,815.0,6.14,764.96,764.96,3613,6,868,5,764.96,496.97,267.99,177,10,medium,19,1,723.09,482.16,0.0,240.93,19.07,248.92,2024,3
3,90,1522,14:29:57,2024-03-01,15:16:57,35,47,90,999,11,4,1,999,999,11:00AM - 11:00PM,YES,NO,555.25,8.94,505.61,505.61,910,4,998,5,505.61,403.1,102.51,98,1,low,12,3,413.61,458.69,443.0,248.38,38.9,163.75,2024,3
5,43,1522,8:25:36,2024-03-01,0:40:00,48,40,19,976,7,7,1,168,105,10:00AM - 10:00PM,NO,YES,406.0,25.16,303.85,303.85,3575,7,163,5,303.85,229.72,74.13,267,4,medium,12,3,298.78,211.54,0.0,87.24,23.37,50.76,2024,3
7,16,1522,13:14:00,2024-03-01,16:52:00,30,24,77,981,12,4,2,5,2,11:00AM - 11:00PM,YES,YES,245.75,33.22,164.11,164.11,3416,4,999,5,164.11,130.62,33.49,117,18,high,18,1,177.56,125.91,202.0,39.03,17.02,197.6,2024,3
3,90,1522,4:57:31,2024-03-01,5:49:31,33,52,90,999,11,4,1,999,999,11:00AM - 11:00PM,NO,YES,945.78,32.09,642.28,642.28,181,4,999,5,642.28,476.53,165.75,199,4,high,21,1,400.7,553.12,564.0,170.56,9.44,251.25,2024,3
3,89,1522,2:41:27,2024-03-01,3:12:27,54,31,89,999,6,1,1,999,999,11:00AM - 11:00PM,YES,YES,470.37,34.14,309.79,309.79,1476,1,999,1,0.0,217.6,92.19,197,10,low,7,3,587.09,546.77,513.0,235.17,21.17,197.97,2024,3
5,42,1522,15:59:20,2024-03-01,0:35:00,59,35,58,973,8,7,1,129,139,10:00AM - 10:00PM,NO,YES,1372.0,39.73,826.9,826.9,3150,7,846,5,826.9,653.87,173.03,245,10,low,8,3,797.67,592.6,0.0,205.07,28.08,144.95,2024,3
5,42,1522,23:26:48,2024-03-01,0:37:00,57,37,55,948,8,4,1,169,137,10:00AM - 10:00PM,YES,YES,984.0,25.18,736.23,736.23,3724,4,358,5,736.23,511.12,225.11,215,9,low,6,1,745.28,553.17,0.0,192.11,27.5,197.61,2024,3
3,89,1522,2:24:26,2024-03-01,3:05:26,49,41,89,999,6,4,1,999,999,11:00AM - 11:00PM,YES,YES,369.13,29.28,261.05,261.05,705,2,999,5,261.05,143.99,117.06,65,50,high,7,3,733.02,512.27,352.0,84.96,40.52,143.27,2024,3
5,42,1522,0:12:30,2024-03-01,0:26:00,48,26,25,920,8,7,1,118,177,10:00AM - 10:00PM,YES,NO,1281.0,25.1,959.47,959.47,3980,7,380,5,959.47,619.44,340.03,205,5,medium,11,2,1026.9,713.78,0.0,313.12,23.23,316.8,2024,3
5,42,1522,5:29:58,2024-03-01,0:59:00,50,59,35,927,8,3,1,191,191,10:00AM - 10:00PM,NO,YES,255.0,23.55,194.95,194.95,3441,3,138,5,194.95,127.2,67.75,289,4,medium,14,3,208.93,151.13,0.0,57.8,24.54,43.21,2024,3
3,90,1522,19:04:57,2024-03-01,19:33:57,32,29,90,999,11,3,1,999,999,11:00AM - 11:00PM,NO,YES,681.4,13.95,586.34,586.34,878,3,998,5,586.34,313.45,272.89,234,3,medium,21,3,398.78,265.23,678.0,86.54,42.45,254.35,2024,3
5,45,1522,13:22:31,2024-03-01,0:23:00,32,23,64,928,1,1,1,114,162,10:00AM - 10:00PM,YES,YES,1330.0,9.21,1207.51,1207.51,3305,1,216,1,0.0,830.63,376.88,96,7,low,9,1,1181.14,810.43,0.0,370.71,10.17,366.71,2024,3
3,90,1522,6:16:17,2024-03-01,7:11:17,23,55,90,999,11,3,1,999,999,11:00AM - 11:00PM,YES,YES,806.59,3.41,779.09,779.09,619,1,999,5,779.09,556.21,222.88,182,39,low,5,1,505.73,515.18,677.0,185.68,17.97,275.65,2024,3
5,43,1522,5:44:54,2024-03-01,0:41:00,53,41,77,978,7,3,1,127,119,10:00AM - 10:00PM,YES,NO,1163.0,37.49,726.99,726.99,3772,3,540,5,726.99,533.08,193.91,112,5,medium,9,2,742.45,487.15,0.0,255.3,14.73,179.18,2024,3
3,89,1522,12:40:33,2024-03-01,13:12:33,48,32,89,999,6,7,1,999,999,11:00AM - 11:00PM,NO,YES,428.23,7.72,395.17,395.17,1456,3,999,5,395.17,208.12,187.05,78,27,medium,12,3,258.41,595.52,677.0,133.46,5.27,131.61,2024,3
3,89,1522,2:04:07,2024-03-01,2:59:07,31,55,89,999,6,4,1,999,999,11:00AM - 11:00PM,NO,YES,305.69,31.55,209.24,209.24,396,3,999,5,209.24,123.99,85.25,191,41,low,23,2,450.4,384.86,548.0,230.0,8.25,101.97,2024,3
7,17,1522,14:42:00,2024-03-01,11:59:00,30,54,37,950,10,2,2,6,3,12:00PM - 2:00AM,YES,YES,889.45,23.78,677.94,677.94,3335,2,999,3,677.94,522.81,155.13,405,10,medium,21,2,765.9,494.11,202.0,198.06,13.95,833.07,2024,3
3,89,1522,8:54:59,2024-03-01,9:40:59,33,46,89,999,6,6,1,999,999,11:00AM - 11:00PM,YES,NO,241.27,6.66,225.2,225.2,804,4,998,5,225.2,166.61,58.59,149,0,low,18,3,628.61,245.04,512.0,69.5,26.54,124.68,2024,3
7,14,1522,4:49:00,2024-03-01,18:29:00,30,42,29,972,8,4,2,9,11,12:00PM - 2:00AM,YES,No,277.68,10.94,247.3,247.3,3487,4,999,5,247.3,125.25,122.05,232,16,low,21,1,251.96,119.51,312.0,130.59,17.83,369.35,2024,3
